Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C16, C21, C22, C23, C24, C27, C31, C35, C36, C37, C38, C39, C40, C41, C5, C6",402,18,100n,C1525
"C10, C2, C3, C4, C7",402,5,1u,C52923
"C11, C12, C19, C20, C29, C30, C32, C33",402,8,100p,C1546
"C13, C15, C17",402,3,2u2,C12530
"C25, C26, C28",805,3,10u,C15850
"C8, C9",402,2,10p,C32949
"D1, D2, D5",D_SMA,3,"type=""D"" model=""DIODE"" lib=""""",C95872
"D3, D4, D6",D_SOD-123,3,D,C8598
"DAC1, DAC2",MSOP-10_3x3mm_P0.5mm,2,MCP4728,C478093
P1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Plug_USB2.0,C2927037
Q1,SOT-23,1,BSS138,C112239
"R1, R2, R3",402,3,2K2,C25879
"R10, R59, R6, R7, R8, R9",402,6,10K,C25744
"R11, R18, R19, R33, R34, R47, R48, R56, R57",402,9,1K,C11702
"R12, R13, R14, R15, R20, R21, R22, R23, R27, R28, R29, R30, R35, R36, R37, R38, R41, R42, R43, R44, R49, R50, R51, R52",402,24,100K,C25741
"R16, R17, R31, R32, R45, R46, R53, R54",402,8,270K,C170277
R24,402,1,1R,C25086
"R25, R26, R39, R40",402,4,15K,C25756
"R4, R5",402,2,27R4,C25100
R58,402,1,5K6,C25908
R60,402,1,200R,C25087
SW3,TS-1187A-B-A-B,1,~,C318884
U10,SOIC-14_3.9x8.7mm_P1.27mm,1,MCP3428,C560166
U11,TO-252-3_TabPin2,1,L7805,C58069
U12,SOT-23,1,LM4040DBZ-4.1,C202194
U2,SOT-23,1,LM4040DBZ-2.0,C144273
U3,SOT-23,1,LM4040DBZ-10,C129969
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U5,SOT-23-3,1,~,C5446
U6,SOIC-8_5.23x5.23mm_P1.27mm,1,~,C2940195
"U7, U8",SOIC-14_3.9x8.7mm_P1.27mm,2,TL074,C6963
U9,TSSOP-14_4.4x5mm_P0.65mm,1,MCP6004,C50282
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND2,C9002
